date,source,frequency,expected_daily,crawl_status,candidates_seen,pages_fetched,article_count,unique_articles,duplicate_articles,usable_articles,usable_rate,incomplete_articles,short_articles,content_chars_min,content_chars_median,content_chars_max,previous_count,baseline_median_7d,ratio_to_baseline,zero_streak_days,anomaly_level,anomaly_codes,anomaly_reason,updated_at
2025-06-03,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,296,296,296,,,,,,,,2026-08-07T10:06:41.148574+08:00
2025-07-16,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,296,296,296,,,,,,,,2026-08-07T10:06:41.148574+08:00
2025-12-03,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,5952,5952,5952,,,,,,,,2026-08-07T10:06:41.148574+08:00
2025-12-04,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,6914,6914,6914,,,,,,,,2026-08-07T10:06:41.148574+08:00
2025-12-09,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,6266,6266,6266,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-01-06,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,296,296,296,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-01-11,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,296,296,296,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-01-26,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,8652,8652,8652,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-01-28,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,296,296,296,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-02-11,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,296,296,296,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-02-18,BloombergNEF Press,月度,false,historical,,,2,2,0,0,0.0000,2,0,7298,8482,9667,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-02-19,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,6019,6019,6019,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-03-09,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,6369,6369,6369,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-03-19,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,4866,4866,4866,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-03-19,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,382,382,382,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-03-27,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,382,382,382,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-04-16,MIT Technology Review Climate,每周,false,historical,,,3,3,0,0,0.0000,3,0,5304,6539,19983,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-04-21,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,7252,7252,7252,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-04-23,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,5844,5844,5844,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-04-29,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,5843,5843,5843,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-04,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3538,3538,3538,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-05,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3243,3243,3243,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-06,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,3693,3693,3693,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-06,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3611,3611,3611,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-07,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,4507,4507,4507,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-07,Battery Tech Online,低频,false,historical,,,2,2,0,0,0.0000,2,0,9449,11693,13938,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-07,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,6277,6277,6277,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-07,electrive,工作日,true,historical,,,2,2,0,0,0.0000,2,0,3635,3816,3997,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-08,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,2614,2614,2614,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-09,electrive,工作日,false,historical,,,1,1,0,0,0.0000,1,0,3442,3442,3442,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-11,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,7846,7846,7846,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-11,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3985,3985,3985,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-12,Ammonia Energy Association,周度,false,historical,,,2,2,0,0,0.0000,2,0,3502,5364,7227,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-12,Battery Tech Online,低频,false,historical,,,2,2,0,0,0.0000,2,0,8889,9308,9728,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-12,electrive,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2922,3534,4146,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-13,Battery Tech Online,低频,false,historical,,,2,2,0,0,0.0000,2,0,6170,8001,9832,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-13,electrive,工作日,true,historical,,,3,3,0,0,0.0000,3,0,3008,3718,6334,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-14,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,7138,7138,7138,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-14,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,6249,6249,6249,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-14,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3378,3378,3378,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-14,pv magazine C&I PV,工作日,true,historical,,,1,1,0,0,0.0000,1,0,8203,8203,8203,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,Ammonia Energy Association,周度,false,historical,,,2,2,0,0,0.0000,2,0,3849,4994,6139,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,7431,7431,7431,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,382,382,382,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-15,pv magazine C&I PV,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2648,3748,4848,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-16,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,6241,6241,6241,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-18,Supply Chain Digital,实时,true,historical,,,1,1,0,0,0.0000,1,0,4337,4337,4337,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-18,electrive,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2057,2630,3204,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-18,pv magazine C&I PV,工作日,true,historical,,,3,3,0,0,0.0000,3,0,3671,3945,4104,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Battery Tech Online,低频,false,historical,,,3,3,0,0,0.0000,3,0,7930,10101,13137,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,9606,9606,9606,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Hydrogen Tech World,周度,false,historical,,,3,3,0,0,0.0000,3,3,107,114,126,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Supply Chain Digital,实时,true,historical,,,3,3,0,0,0.0000,3,0,6675,7523,9628,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,382,382,382,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-19,pv magazine C&I PV,工作日,true,historical,,,2,2,0,0,0.0000,2,0,3124,4081,5038,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,Battery Tech Online,低频,false,historical,,,2,2,0,0,0.0000,2,0,6427,7441,8456,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,Hydrogen Tech World,周度,false,historical,,,3,3,0,0,0.0000,3,3,81,89,94,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,MIT Technology Review Climate,每周,false,historical,,,1,1,0,0,0.0000,1,0,5122,5122,5122,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,Supply Chain Digital,实时,true,historical,,,5,5,0,0,0.0000,5,0,4060,4475,6254,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-20,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3551,3551,3551,,,,,,,,2026-08-07T10:06:41.148574+08:00
