source,frequency,last_target_date,last_status,previous_status,last_attempt_at,last_success_at,last_success_date,consecutive_unhealthy,open_incidents,next_action,last_error_type,last_error,crawl_mode,candidates_seen,pages_fetched,new_articles,refreshed_articles,usable_articles,incomplete_articles,short_articles,min_content_chars,content_chars_min,content_chars_median,content_chars_max,updated_at
4C Offshore,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,7,repair_then_confirm,,,listing,100,15,5,0,5,0,0,500,710,1109,1293,2026-08-28T14:45:21.458668+08:00
Ammonia Energy Association,周度,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,all observed candidates were published outside the target date (2026-08-04 to 2026-08-25),rss,10,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
Batteries International,实时（新闻资讯）+季度（新闻整合）,2026-08-27,healthy,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,,rss,10,2,2,0,2,0,0,500,2105,2612,3119,2026-08-28T14:45:21.458668+08:00
Batteries International News,周度,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,all observed candidates were published outside the target date (2026-07-28 to 2026-08-27),listing,64,13,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
batteries news,实时,2026-08-05,skipped,skipped,2026-08-06T07:30:53.533382+08:00,,,0,0,none,,备注包含“无法访问”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
Batteries News,实时,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,18,repair_then_confirm,,all observed candidates were published outside the target date (2026-08-08 to 2026-08-25),listing,29,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
Battery Council International,周度,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,备注包含“需邮箱订阅”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
Battery Tech Online,低频,2026-08-27,idle,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,all observed candidates were published outside the target date (2026-07-11 to 2026-08-28),rss,50,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
BloombergNEF Press,月度,2026-08-27,idle,idle,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,all observed candidates were published outside the target date (2026-01-26 to 2026-06-24),rss,10,0,0,0,0,0,0,500,0,0,0,2026-08-28T14:45:21.458668+08:00
Data Center Knowledge,实时,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,2,repair_then_confirm,,,listing,91,3,3,0,3,0,0,500,7780,10717,13400,2026-08-28T14:45:21.458668+08:00
Electrek,实时,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,2,repair_then_confirm,,,rss,100,11,5,0,5,0,0,500,4338,5415,9202,2026-08-28T14:45:21.458668+08:00
electrive,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,4,repair_then_reconfirm,,,rss,30,1,1,0,1,0,0,500,6616,6616,6616,2026-08-28T14:45:21.458668+08:00
EnergyTrend储能,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,8,repair_then_confirm,,,rss,26,3,3,0,3,0,0,500,1457,1541,2393,2026-08-28T14:45:21.458668+08:00
ESPLAZA长时储能网,实时,2026-08-27,skipped,skipped,2026-08-28T14:45:18.986817+08:00,,,0,0,none,,备注包含“公众号”,,0,0,0,0,0,0,0,0,0,0,0,2026-08-28T14:45:21.458668+08:00
ESS News,工作日,2026-08-27,healthy,healthy,2026-08-28T14:45:18.986817+08:00,2026-08-28T14:45:18.986817+08:00,2026-08-27,0,0,none,,,rss,10,2,2,0,2,0,0,500,3177,3915,4654,2026-08-28T14:45:21.458668+08:00
